Question,Answer,Points
"Name something you shouldn’t be holding while you’re driving.",Phone,59
"Name something you shouldn’t be holding while you’re driving.",Food or drink,12
"Name something you shouldn’t be holding while you’re driving.",Alcoholic beverage,12
"Name something you shouldn’t be holding while you’re driving.",Crying baby,11
"Name something you shouldn’t be holding while you’re driving.",Cigarette,2
"Name something you shouldn’t be holding while you’re driving.",Murder weapon,2
