Question,Answer,Points
"Name a place that always has a long bathroom line.",Sports venue,28
"Name a place that always has a long bathroom line.",Concert,27
"Name a place that always has a long bathroom line.",Bar/club,15
"Name a place that always has a long bathroom line.",Movie,8
"Name a place that always has a long bathroom line.",Theme park/fair,6
"Name a place that always has a long bathroom line.",Restaurant,5
"Name a place that always has a long bathroom line.",Every ladies room,4
